Ref,Val,Package,PosX,PosY,Rot,Side
"R33","NA/R0603","0603",11.426000,21.461000,180.000000,top
"R34","NA/R0603","0603",16.887000,31.875000,0.000000,top
"R35","NA/R0603","0603",8.251000,21.461000,180.000000,top
"R36","4.7k/R0603","0603",6.035000,8.390000,-90.000000,top
"R37","4.7k/R0603","0603",21.775000,8.387649,-90.000000,top
"R38","4.7k/R0603","0603",45.965000,8.383893,-90.000000,top
"R39","4.7k/R0603","0603",61.705000,8.385112,-90.000000,top
"R40","10R/R0603","0603",16.633000,28.954000,180.000000,top
"R41","220R/R0603","0603",12.696000,35.939000,180.000000,top
"R42","4.7k/R0603","0603",12.430000,8.388360,-90.000000,top
"R43","4.7k/R0603","0603",28.170000,8.386721,-90.000000,top
"R44","4.7k/R0603","0603",52.360000,8.380835,-90.000000,top
"R45","4.7k/R0603","0603",68.100720,8.388280,-90.000000,top
"R46","4.7k/R0603","0603",69.575720,8.385000,-90.000000,top
"R47","4.7k/R0603","0603",13.905000,8.390000,-90.000000,top
"R48","4.7k/R0603","0603",29.645000,8.386721,-90.000000,top
"R49","4.7k/R0603","0603",53.835000,8.384115,-90.000000,top
"R50","220R/R0603","0603",12.696000,44.067000,0.000000,top
"R51","10k/R0603","0603",12.696000,42.543000,180.000000,top
"R52","NA/R0603","0603",12.696000,41.019000,0.000000,top
"R53","5.1k/R0603","0603",51.250000,61.350000,0.000000,top
"R54","5.1k/R0603","0603",58.325000,61.350000,0.000000,top
"REF**","Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal","Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal",57.025000,49.050000,-90.000000,top
"REF**","Converter_DCDC_RECOM_R-78B-2.0_THT","Converter_DCDC_RECOM_R-78B-2.0_THT",57.950000,31.475000,-90.000000,top
"REF**","Converter_DCDC_RECOM_R-78B-2.0_THT","Converter_DCDC_RECOM_R-78B-2.0_THT",57.725000,18.875000,-90.000000,top
"RM1","RA1206_(4X0603)_4B8_2.2k","R_MATRIX_4",31.365000,35.812000,180.000000,top
"RM2","RA1206_(4X0603)_4B8_2.2k","R_MATRIX_4",25.015000,35.812000,0.000000,top
"RST1","T1107A(6x3,8x2,5MM)","T1107A(6x3,8x2,5MM)",5.584000,36.828000,180.000000,top
"T1","DTC114YKA","SOT23",18.792000,44.702000,180.000000,top
"U2","CH340T(SSOP20W)","SSOP-20W",32.127000,20.064000,90.000000,top
"U3","LAN8710A-EZC(QFN32)","QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm",30.349000,41.781000,-90.000000,top
"U5","TCA9548APWR","TSSOP-24_4.4x7.8mm_P0.65mm",35.850000,4.315000,0.000000,top
"U6","ESP32-WROOM-32D-4MB","ESP-WROOM-32_MODULE",10.410000,59.942000,0.000000,top
"U7","USB-C-16P-F(A40-00119-A52-12)","USB2.0_TYPE-C(A40-00119-A52-12)",54.975000,68.450000,90.000000,top
