"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"MH1"	"Mounting_hole_Shield_3.3mm"	"ESP32-GATEWAY_Rev_G:Mounting_hole_Shield_3.3mm"	"OLIMEX_Other-FP:Mounting_hole_Shield_3.3mm"	""	""
"MH2"	"Mounting_hole_Shield_3.3mm"	"ESP32-GATEWAY_Rev_G:Mounting_hole_Shield_3.3mm"	"OLIMEX_Other-FP:Mounting_hole_Shield_3.3mm"	""	""
"MICRO_SD1"	"TFC-WXCP11-08-LF"	"ESP32-GATEWAY_Rev_G:MICRO_SD(TFC-WXCP11-08-LF)"	"OLIMEX_Connectors-FP:TFC-WXCP11-08-LF"	""	""
"PHY_RST1"	"Opened"	"ESP32-GATEWAY_Rev_G:SJ"	"OLIMEX_Jumpers-FP:SJ"	""	""
"PWRLED1"	"LED/RED/0603"	"ESP32-GATEWAY_Rev_G:LED"	"OLIMEX_LEDs-FP:LED_0603_KA"	""	""
"Q1"	"Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)"	"ESP32-GATEWAY_Rev_G:Crystal"	"OLIMEX_Crystal-FP:Q_49U3HMS"	""	""
"Q2"	"BC817-40(SOT23)"	"ESP32-GATEWAY_Rev_G:Q_NPN_BEC"	"OLIMEX_Transistors-FP:SOT23"	""	""
"Q3"	"BC817-40(SOT23)"	"ESP32-GATEWAY_Rev_G:Q_NPN_BEC"	"OLIMEX_Transistors-FP:SOT23"	""	""
"R1"	"1k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R2"	"10k/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R3"	"0R(Board_Mounted)"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
"R4"	"330R/R0603"	"ESP32-GATEWAY_Rev_G:R"	"OLIMEX_RLC-FP:R_0603_5MIL_DWS"	""	""
